Sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Jurkat only,12.22442351,-13.88638965,9.097530654,8.710063834,1.914880641,-2.324430188,5.138637362,0.63152841,2.940385289,-2.62037813
Jurkat only,12.5764183,-8.714368238,12.4435408,6.354954847,0.527950319,-8.171817059,2.604828956,0.647366935,8.812864818,-8.087649476
Jurkat only,11.90616195,-10.55818519,2.363008027,-0.534888775,-10.85604475,9.924657753,0.326254942,0.772605133,5.844510345,1.87596876
Jurkat only,16.48539485,-14.3841145,11.19976979,10.36332683,0.877294529,-4.846712062,1.933795169,-0.709386714,2.070520939,2.619261549
Jurkat only,13.21827305,-17.91549948,3.420427492,9.944558373,-4.653533718,4.201120069,0.648599066,-0.873139075,-3.052049215,-0.22543384
Jurkat only,11.94093527,-23.74980673,-3.922369991,4.221501658,-2.211069798,0.920289602,-2.512946618,-0.690310155,-0.950245464,-1.384168782
Jurkat only,11.42330183,-20.97141066,1.355177227,5.162570606,-0.65687654,4.220496945,4.874077075,0.01976316,-3.118476388,-0.65893228
Jurkat only,14.48069132,-11.54783492,10.38331291,-1.171461444,-7.964605482,6.543035858,3.959389307,0.722790001,4.946995205,-8.380562756
Jurkat only,15.43053314,-22.55426882,9.454713937,3.829166088,-1.643550967,-1.524726657,6.455432384,0.22834798,2.519256658,5.616173483
Jurkat only,15.49484207,-27.16677595,21.33937551,-9.525027747,-3.338752873,1.68781433,-2.769853201,0.786191799,4.224407367,1.046470833
Jurkat only,15.44612329,-16.0406491,14.12417014,4.207903143,2.441080998,2.742858324,0.6677269,-0.253640191,1.733611243,4.47933166
Jurkat only,13.71160449,-14.08772956,3.730332719,1.864126693,-6.686583161,6.971659346,1.548697982,-0.347269329,-3.515489744,2.665285759
Jurkat only,13.86000362,-14.97717973,10.74501966,5.757921616,4.836234282,-3.511405571,2.387768202,0.216101281,6.217424914,3.843585494
Jurkat only,13.88522237,-14.34744647,9.550473907,-6.380076599,-7.239371595,-13.20086478,-2.689830985,1.827296742,1.788259826,0.311071628
Jurkat only,13.95350364,-15.61844465,12.41587329,-3.558321121,-0.628691753,2.123736576,-5.24045066,0.567987169,6.832201301,-5.869146228
Jurkat only,13.03624745,-20.18500719,4.527456936,2.347872942,-6.703348807,5.463842385,6.095803902,-0.182066749,0.470782277,-0.377528902
Jurkat only,13.19479796,-20.03393568,12.02276734,8.847976035,3.650319382,0.28192344,6.869705988,-0.028733147,1.999570913,3.023660469
Jurkat only,15.48218034,-19.00181746,18.20152123,-6.986310202,-4.93742097,-2.452929177,-1.494187966,0.485339122,-1.167724346,2.41489905
Jurkat only,13.65956516,-18.05461976,6.114209042,2.983043457,-9.928197362,-2.060355405,7.452774315,0.721841987,-1.293588097,-2.441414167
Jurkat only,13.96975159,-11.36390292,15.35149838,-1.195218305,-2.526243036,6.69790158,-5.156693891,-0.324527059,-2.99768199,1.073589306
Jurkat only,18.3979189,-13.45259827,16.48872168,-3.818988129,-0.661508729,-13.94778513,14.04222282,1.746307017,5.759747693,-1.081847732
Jurkat only,13.49475344,-16.14237683,19.1785664,-3.661908269,0.805884726,1.428840227,1.796518692,0.591460983,2.961114197,-1.716728855
Jurkat only,13.22720323,-14.46770996,6.551508731,8.178187475,1.182692373,-3.656227518,1.852563509,-0.404372237,-2.302450887,5.639692954
Jurkat only,16.8078515,-0.538475706,16.64244893,1.161072206,-7.589307763,5.704273786,-0.29143759,-1.422384617,-2.694408911,1.732498425
Jurkat only,11.2055724,-23.39782902,7.045051551,5.694976046,3.972109563,-0.825806958,2.671468084,0.347898864,5.549592425,6.173936361
Jurkat only,14.7512123,-22.37725523,4.355476948,2.975672252,0.099335515,-5.490322365,9.979565762,0.882989486,0.652035333,1.85014524
Jurkat only,15.05964646,-10.0053307,5.138063633,4.963523281,-8.613791012,7.606160851,-4.15218989,-1.228651119,0.391302191,1.544372257
Jurkat only,15.78749171,-15.77805925,19.4817327,0.306946295,-5.633865543,0.663740318,-6.397627557,-1.174527853,3.310458157,2.809465284
Jurkat only,16.48003503,-18.96988238,13.64554069,-8.067621332,-6.845450558,-0.848374372,-3.735732822,0.74355727,-0.555186915,0.381871868
Jurkat only,15.94535184,-9.962211018,6.60702968,7.785445037,-5.554379803,2.492398006,4.351193461,-0.024730608,-6.500180602,-3.962672016
Jurkat only,16.77609245,-11.64572394,10.6331295,8.081431637,0.066652937,-5.016587074,-1.717014655,0.016303713,1.015044366,4.182142454
Jurkat only,14.22969057,-8.788457165,8.777392322,10.81676989,-2.368834286,-4.977342636,-0.934289969,-0.495951371,-1.188092329,3.012831887
Jurkat only,15.25483482,-18.94713836,1.92829085,-18.58132877,-2.860094277,-9.130569465,2.373155325,2.056899017,-4.244494829,-4.130644313
Jurkat only,10.79432596,-17.6769426,7.973782736,3.984498891,8.815288885,-0.991480365,3.432255677,0.09348344,4.249925436,6.019352977
Jurkat only,12.82620804,-15.54753546,1.439440762,2.721767235,-3.640762516,3.956438899,3.827991318,-0.51557517,-3.312992137,-3.200958169
Jurkat only,13.05790176,-15.0304103,-0.10181343,7.428631847,-2.810202373,4.171325196,2.90646075,-0.137732288,-1.160445104,-1.119798707
Jurkat only,12.98359781,-21.92509625,2.640639471,1.96636489,1.800436667,2.880158849,9.022840981,0.226913254,-0.535642869,0.008213214
Jurkat only,7.951025414,-40.70102926,-12.33832725,-34.33805837,-1.232861424,-8.177871225,29.0711779,0.097684109,6.827485173,0.099339619
Jurkat only,14.16124274,-9.969407076,3.819216888,6.316052575,-6.116976312,3.483027979,3.221838095,-1.378043957,0.299674334,-12.27555044
Jurkat only,14.49091619,-22.24753911,5.629295032,-2.330253033,4.872294659,-5.631075215,2.611369179,0.567136643,-1.531419965,2.012416503
Jurkat only,13.03909467,5.184029787,11.22567168,-2.6632223,-3.263787203,-1.227294061,8.567809758,-0.914421884,1.595204936,5.688214751
Jurkat only,11.40171612,-18.49003,-1.148556206,6.501494537,4.003550754,1.493680985,2.473117796,0.305429717,1.468487995,-0.76167238
Jurkat only,13.03119001,-14.79362828,-0.527510259,-2.732781214,-7.609643937,2.016570156,2.366367164,0.3503851,-5.474833852,-4.441820619
Jurkat only,14.32709776,-15.96204659,16.99672885,8.780659456,-3.304090709,-1.546506829,1.706526146,0.050446222,0.062336754,4.912362311
Jurkat only,15.82256552,-18.93126783,10.24556133,5.311874826,1.133182431,-5.055093998,-0.672093434,0.339724597,-3.120982729,5.229960071
Jurkat only,13.92798014,-12.09007519,11.52758106,0.82277297,1.463820664,-9.855154049,-2.520892923,0.599845737,2.161476594,1.907246881
Jurkat only,13.53943086,-19.62560077,2.525653997,5.678594088,4.698081732,-0.051530898,0.678588025,0.019833155,3.571751867,6.411573143
Jurkat only,14.67422617,-15.93063191,21.62307697,-7.376506939,-0.620454501,-5.922984292,-2.22841897,0.363665161,-1.609111088,1.0466474
Jurkat only,13.61008009,-15.41402211,7.726783754,5.785919767,-6.678640396,4.744425514,0.348083764,-1.227476747,-0.62467994,0.467618826
Jurkat only,14.14776108,-23.85399488,10.55052229,-4.301409797,-2.912596995,-2.365495028,-3.466018333,0.292216371,-1.340617547,-0.794233421
Jurkat only,13.1370872,-13.70010748,3.444022054,6.245753379,-3.448520911,4.752048762,3.522258323,0.430713098,3.270648543,-9.376226204
Jurkat only,13.60607462,-17.26373905,12.09756572,7.922687594,-6.161112276,-5.102953624,-1.443246378,0.107529849,-0.439324157,5.485936286
Jurkat only,11.77976491,-18.08512646,5.098553326,7.741634904,5.88278808,2.709327302,6.228779197,-0.762625994,-1.63026769,3.5354587
Jurkat only,13.13375136,-15.99771124,6.823412198,-5.074975099,2.455061083,-8.261694857,12.4275896,1.897790262,6.084978367,0.374245867
Jurkat only,14.37258613,-22.66984781,12.98816118,4.468252918,0.018623098,-5.32739921,-0.631899164,-0.936969625,-1.220292949,3.848770355
Jurkat only,12.66535365,-7.329410858,6.500679107,1.137144465,-14.2352056,-0.735439362,6.399061303,-0.134441855,-4.934257404,-2.097440658
Jurkat only,15.15121846,-8.385376137,5.422703898,2.958773343,-9.33636674,6.782953988,-0.546595557,-0.823703503,-5.401785665,0.427054013
Jurkat only,14.27754892,-19.96128824,4.017577877,6.966048178,2.440202433,2.360326969,3.423818584,-0.01035923,-0.166102822,-0.204554294
Jurkat only,12.06418902,-22.10611522,4.039684175,3.862620239,-1.30617747,-3.610327074,4.941427533,1.666705911,7.122318972,-9.920305234
